trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.5, 'e': 0.6034832498647263}",30,0,-78.5026403860988,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.5962826992967879}",20,0,-81.54535275675856,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.5890404340586651}",20,0,-56.46244780293763,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.5817593768418363}",20,0,-88.76947582720672,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.574442516811659}",30,0,-40.813176965629815,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.5670929049654543}",20,7,-62.1037853752769,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.5597136492671929}",20,2,-23.250474888461888,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.5523079095743253}",30,17,15.7200839435172,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.5448788923735801}",35,0,-233.85359270540067,"{0: 24, 1: 1, 2: 2, 3: 4, 4: 4}",0
145,False,"{'a': 0.5, 'e': 0.5374298453437496}",25,8,-70.77991310673168,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.5299640517645717}",20,5,-46.44267436289835,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.5224848247918001}",30,12,0.21737336943684293,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.51499550161941}",20,12,-16.24897429519487,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.5074994375506203}",20,4,-31.07258021085858,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.5}",20,0,-32.769067612320086,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.4925005624493796}",20,8,11.230247254275048,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.4850044983805899}",20,3,6.185234772290634,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.4775151752081999}",20,9,-22.458993093878057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.4700359482354282}",35,4,-16.01994360278666,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.46257015465625045}",20,0,-20.463775202026312,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.45512110762641994}",25,6,5.265125888930676,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.4476920904256748}",20,4,-15.28218300000212,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.44028635073280703}",30,1,24.418085186108538,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.4329070950345457}",20,13,11.871034016262612,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.425557483188341}",20,6,-10.299479692289527,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.4182406231581638}",25,0,-74.56913051673656,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.41095956594133487}",20,0,1.9810042207331398,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.40371730070321216}",20,0,-71.99002260387742,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.3965167501352737}",25,0,-49.09583819316046,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.389360766050778}",20,4,-3.074775894152383,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.382252125230751}",25,0,-4.830169849316818,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.3751935255315707}",20,9,-29.49199619931187,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.3681875822638983}",20,12,-28.85351303254098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.36123682485115804}",20,15,8.485188288052498,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
